judul_film,genre,tahun_rilis,sutradara
Perawan-perawan,"
Drama            ",1981,Ida Farida
Badai di awal bahagia,"
Action, Drama            ",1981,Muchlis Raya
Dukun ilmu hitam,"
Drama, Horror, Mystery            ",1981,A. Harris
Gondoruwo,"
Horror            ",1981,Ratno Timoer
Leech Wizard,"
Horror            ",1981,Ackyl Anwari
Ferocious Female Freedom Fighters,"
Action, Comedy            ",1982,Jopi Burnama
"Seputih Hatinya, Semerah Bibirnya","
Drama            ",1982,Slamet Rahardjo
"Ferocious Female Freedom Fighters, Part 2","
Action            ",1982,Arizal
Special Silencers,"
Action, Drama, Fantasy            ",1982,Arizal
Satan's Slave,"
Horror            ",1982,Sisworo Gautama Putra
Sundelbolong,"
Drama, Fantasy, Horror            ",1982,Sisworo Gautama Putra
Nyi Blorong,"
Fantasy, Horror            ",1982,Sisworo Gautama Putra
Aladin dan Lampu Wasiat,"
Action, Drama            ",1982,Sisworo Gautama Putra
Jakarta Jakarta,"
Drama            ",1982,Ami Priyono
Titian Serambut Dibelah Tujuh,"
Drama            ",1982,Chaerul Umam
Melody cinta,NA,1982,Alwi A.S.
Gadis Bionik,"
Action            ",1982,Ali Shahab
Sangkuriang,"
Fantasy            ",1982,Sisworo Gautama Putra
Serbuan halilintar,NA,1982,Arizal
Warok singo kobra,NA,1982,Nawi Ismail
Duel naga wulung,NA,1982,Dasri Jacob
Tangkuban Perahu,NA,1982,Liliek Sudjio
Neraca kasih,NA,1982,Henky Solaiman
Melodi cinta,"
Drama            ",1982,Arizal
Dongkrak Antik,"
Comedy            ",1982,Arizal
Tongkat sakti,NA,1982,Willy Wilianto
Sentuhan kasih,NA,1982,Willy Wilianto
Hukum Karma,NA,1982,Jimmy Atmaja
Jin Galunggung,"
Horror            ",1982,Ratno Timoer
Bawalah aku pergi,"
Drama            ",1982,M.T. Risyaf
Bayi Ajaib,"
Horror            ",1982,Tindra Rengat
Untung Ada Saya,"
Comedy            ",1982,Liliek Sudjio
Cara Hebat Ikut Penanggulangan Masalah Sosial,"
Comedy            ",1982,Iksan Lahardi
Perempuan Bergairah,"
Action, Crime, Drama            ",1982,Jopi Burnama
Misteri ronggeng jaipong,"
Mystery            ",1982,Mardaly Sjarif
The Warrior and the Blind Swordsman,"
Action, Adventure, Fantasy            ",1983,Worod Suma
Escape from Hellhole,"
Action, Thriller            ",1983,Maman Firmansyah
Kamp Tawanan Wanita,"
Action, Drama            ",1983,Jopi Burnama
Membakar Matahari,"
Action            ",1983,Arizal
Perhitungan terakhir,"
Action            ",1983,Danu Umbara
Pendekar Liar,"
Action            ",1983,Dasri Jacob
Di Balik Kelambu,"
Drama            ",1983,Teguh Karya
Roro Mendut,"
Drama, Romance            ",1983,Ami Priyono
Lebak Membara,"
Action, War            ",1983,Imam Tantowi
Damarwulan-Minakjinggo,"
Action, War            ",1983,Liliek Sudjio
Cinta Segi Tiga,"
Drama, Musical            ",1983,Yung Indrajaya
Kadarwati,"
Drama            ",1983,Sophan Sophiaan
Pasukan Berani Mati,"
Action            ",1983,Imam Tantowi
Perkawinan Nyi Blorong,"
Fantasy, Horror            ",1983,Sisworo Gautama Putra
Yang,NA,1983,Ami Priyono
Lenyapnya Dendam Si Buta,"
Action            ",1983,S.A. Karim
Pengantin Pantai Biru,"
Drama            ",1983,Wim Umboh
Budak Nafsu,"
Thriller            ",1983,Sjuman Djaya
Jaka geledek,NA,1983,Fritz G. Schadt
Lara jonggrang,NA,1983,Jimmy Atmaja
Midah Perawan Buronan,NA,1983,Fritz G. Schadt
Maju Kena Mundur Kena,"
Comedy            ",1983,Arizal
Pokoknya Beres,"
Comedy, Drama            ",1983,Arizal
Bergola Ijo,"
Comedy, Drama, Fantasy            ",1983,Arizal
Darah dan Mahkota Ronggeng,"
Drama            ",1983,Yazman Yazid
Permainan cinta,"
Drama            ",1983,Willy Wilianto
Gadis telepon,"
Drama            ",1983,Willy Wilianto
Penakluk srigala,"
Action, Comedy, Drama            ",1983,Willy Wilianto
Luka hati sang bidadari,"
Drama            ",1983,Nico Pelamonia
Ken Arok - Ken Dedes,"
Action            ",1983,Djun Saptohadi
Dilihat boleh dipegang jangan,"
Comedy            ",1983,Danu Umbara
Tujuh wanita dalam tugas rahasia,"
War            ",1983,Mardaly Sjarif
Rambut keriting,"
Drama            ",1983,Susilo S.W.D.
Rumput-rumput yang bergoyang,"
Drama            ",1983,Susilo S.W.D.
Tante garang,"
Comedy            ",1983,Ida Farida
Tirai malam pengantin,"
Drama            ",1983,Ida Farida
Apanya Dong,"
Comedy            ",1983,Nya Abbas Akup
Tendangan iblis,"
Action            ",1983,A. Harris
Nyi Ageng Ratu Pemikat,"
Fantasy            ",1983,Sisworo Gautama Putra
Golok Setan,"
Adventure, Fantasy, Horror            ",1984,Ratno Timoer
Revenge of the Ninja,"
Action, Thriller            ",1984,Ratno Timoer
Satria Bergitar,"
Action, Musical, War            ",1984,Nurhadie Irawan
Pengkhianatan G30S/PKI,"
Drama, History            ",1984,Arifin C. Noer
Hati yang perawan,"
Drama            ",1984,Chaerul Umam
Sunan Kalijaga,"
Action, Drama            ",1984,Sofyan Sharna
Bibir-Bibir Bergincu,"
Drama            ",1984,Mardaly Sjarif
Tirai kasih,NA,1984,Agus Elias
Kontraktor,NA,1984,Wahab Abdi
Saat-Saat yang indah,NA,1984,Sophan Sophiaan
Ponirah Terpidana,"
Crime, Drama            ",1984,Slamet Rahardjo
Tahu Diri Dong,"
Comedy, Drama            ",1984,Arizal
Itu Bisa Diatur,"
Comedy, Drama            ",1984,Arizal
Mawar berbisa,NA,1984,Dhany Firdaus
Musuh dalam selimut,NA,1984,Willy Wilianto
Persaingan remaja,NA,1984,Willy Wilianto
Dia sang penakluk,"
Drama            ",1984,Imam Tantowi
Duel,"
Drama, Musical            ",1984,Bacharoem Halilintar
Yang terbelenggu,"
Drama            ",1984,Nico Pelamonia
Kenikmatan,"
Drama            ",1984,Nico Pelamonia
Jejak pengantin,"
Drama            ",1984,M.T. Risyaf
Lelaki sejati,NA,1984,Danu Umbara
Di Luar Batas,"
Drama            ",1984,Jopi Burnama
Lorong-lorong asmara,"
Drama            ",1984,Susilo S.W.D.
Asmara di balik pintu,"
Drama            ",1984,Ida Farida
Telaga Angker,"
Horror            ",1984,Sisworo Gautama Putra
Elang laut,"
Action, Drama            ",1984,A. Harris
Sona anak srigala,"
Action, Drama            ",1984,A. Harris
Jaka Sembung & Bergola Ijo,"
Action, Adventure, Fantasy            ",1985,H. Tjut Djalil
Hell Raiders,"
Action, Drama, War            ",1985,Gope T. Samtani
Kembang Kertas,"
Drama            ",1985,Slamet Rahardjo
Kodrat,"
Drama            ",1985,Slamet Rahardjo
Secangkir Kopi Pahit,"
Drama            ",1985,Teguh Karya
Pembalasan Rambu,"
Action, Crime, Thriller            ",1985,Jopi Burnama
Ratu Sakti Calon Arang,"
Action, Fantasy, Horror            ",1985,Sisworo Gautama Putra
Doea Tanda Mata,"
Drama, Romance            ",1985,Teguh Karya
Cinta kembar,"
Drama, Musical            ",1985,Liliek Sudjio
Merpati Tak Pernah Ingkar Janji,"
Drama            ",1985,Wim Umboh
Carok,"
Action            ",1985,Imam Tantowi
Residivis,"
Action, Drama            ",1985,Imam Tantowi
Noda X,"
Action            ",1985,Ackyl Anwari
Sunan Kalijaga & Syech Siti Jenar,"
Action, Drama            ",1985,Ackyl Anwari
Romantika,NA,1985,Henky Solaiman
Darah perjaka,NA,1985,Ackyl Anwari
Preman,NA,1985,Torro Margens
Si Buta dari Gua Hantu,NA,1985,Ratno Timoer
Matahari-Matahari,NA,1985,Arifin C. Noer
Gantian Dong,"
Comedy            ",1985,Arizal
Putri Duyung,NA,1985,Atok Suharto
Jejaka-Jejaka,NA,1985,Iksan Lahardi
Kulihat cinta di matanya,NA,1985,Achiel Nasrun
Kesempatan Dalam Kesempitan,NA,1985,Arizal
Bukit Berdarah,"
Action            ",1985,Atok Suharto
Satu cinta 1000 dusta,NA,1985,Willy Wilianto
Persaingan asmara,NA,1985,Willy Wilianto
I.Q. 200,"
Comedy, Drama            ",1985,Willy Wilianto
Idola remaja,"
Drama            ",1985,Maman Firmansyah
Kesan pertama,"
Drama            ",1985,M.T. Risyaf
Gejolak kawula muda,"
Musical            ",1985,Maman Firmansyah
Tak ingin sendiri,"
Drama            ",1985,Ida Farida
Kemilau cinta di langit jingga,"
Action, Drama            ",1985,Muchlis Raya
Melintas Badai,"
Drama            ",1985,Sophan Sophiaan
Tari Kejang Muda Mudi,"
Musical            ",1985,Sharieffudin
Bangunnya Nyi Roro Kidul,"
Horror            ",1985,Sisworo Gautama Putra
Final Score,"
Action, Adventure, Crime            ",1986,Arizal
Batas Impian Ranjang Setan,"
Horror            ",1986,H. Tjut Djalil
Ibunda,"
Drama            ",1986,Teguh Karya
Komando Samber Nyawa,"
Action, War            ",1986,E.G. Bakker
Kejarlah Daku Kau Kutangkap,"
Comedy, Drama            ",1986,Chaerul Umam
Di dadaku ada cinta,"
Drama, Romance            ",1986,Paramitha Rusady
Petualangan Cinta Nyi Blorong,"
Fantasy            ",1986,Sisworo Gautama Putra
Opera Jakarta,NA,1986,Sjuman Djaya
Gadis Hitam Putih,"
Drama            ",1986,Wahyu Sihombing
Langganan,NA,1986,Atok Suharto
Anak-anak malam,NA,1986,Yazman Yazid
Merangkul langit,NA,1986,M.T. Risyaf
Biarkan Bulan Itu,"
Drama            ",1986,Arifin C. Noer
Anunya kamu,NA,1986,Bay Isbahi
Menggapai matahari,NA,1986,Nurhadie Irawan
Keluarga Markum,NA,1986,Chaerul Umam
Sama Juga Bohong,"
Drama            ",1986,Chaerul Umam
Cemburu nih yee...,"
Drama            ",1986,Ali Shahab
Segi tiga emas,NA,1986,Arizal
Pengantin baru,"
Drama            ",1986,Arizal
Menyibak kabut cinta,"
Drama            ",1986,Willy Wilianto
Sentuhan Rumput yang Bergoyang,"
Comedy, Drama            ",1986,Willy Wilianto
"Up OK, Down OK","
Adventure, Comedy            ",1986,H. Tjut Djalil
Takdir Marina,"
Drama            ",1986,Wahab Abdi
Bintang Kejora,"
Comedy, Drama            ",1986,Chaerul Umam
Sengatan Kobra,"
Action, Drama, Fantasy            ",1986,Mardaly Sjarif
Usia Dalam Gejolak,"
Drama            ",1986,Sisworo Gautama Putra
Malam Jumat Kliwon,"
Horror            ",1986,Sisworo Gautama Putra
Si Buta dari Gua Hantu: Neraka Perut Bumi,"
Action            ",1987,Ratno Timoer
Barang Terlarang,"
Crime, Thriller            ",1987,Maman Firmansyah
Naga Bonar,"
Comedy, War            ",1987,M.T. Risyaf
Menumpas Teroris,"
Action            ",1987,Imam Tantowi
Catatan Si Boy,"
Drama            ",1987,Nasri Cheppy
Bilur-bilur penyesalan,"
Drama            ",1987,Nasri Cheppy
Cintaku di Rumah Susun,"
Comedy, Drama            ",1987,Nya Abbas Akup
Kerikil-Kerikil Tajam,"
Drama            ",1987,Sjuman Djaya
Ayahku,"
Drama, Family            ",1987,Agus Elias
Kelabang Seribu,"
Action, Horror            ",1987,Imam Tantowi
Tujuh Manusia Harimau,"
Horror            ",1987,Imam Tantowi
Samson and Delilah,"
Adventure, Fantasy            ",1987,Sisworo Gautama Putra
Virgins from Hell,"
Action, Crime, Thriller            ",1987,Ackyl Anwari
Dewi Cinta,"
Romance            ",1987,Abdi Wiyono
Arini,"
Drama            ",1987,Sophan Sophiaan
"Front OK, Behind OK","
Comedy, Crime            ",1987,H. Tjut Djalil
Mandala dari sungai ular,"
Action            ",1987,Ackyl Anwari
Lupus,NA,1987,Achiel Nasrun
Kasmaran,NA,1987,Slamet Rahardjo
Misteri sumur tua,NA,1987,Ali Shahab
Sama-sama enak,NA,1987,Arizal
Pelet,"
Drama, Horror            ",1987,Imam Tantowi
Siluman srigala putih,NA,1987,Imam Tantowi
Johny Indo,"
Biography            ",1987,Jimmy Atmaja
Saya Suka Kamu Punya,"
Comedy            ",1987,Tommy Burnama
Dendam Anak Buangan,"
Action, Horror            ",1987,Dasri Jacob
Macan Kampus,"
Drama            ",1987,Adisoerya Abdi
Gema hati bernyanyi (setitik embun),"
Drama            ",1987,Adisoerya Abdi
Nada-Nada Rindu,"
Drama            ",1987,Muchlis Raya
Misteri Rumah Tua,"
Adventure, Horror            ",1987,Liliek Sudjio
Bayangan Cinta,"
Drama            ",1987,Abdi Wiyono
Tjoet Nja' Dhien,"
Drama, War            ",1988,Eros Djarot
Jungle Virgin Force,"
Action            ",1988,Danu Umbara
American Hunter,"
Action            ",1988,Arizal
Catatan Si Boy 2,"
Drama            ",1988,Nasri Cheppy
Saur Sepuh: Satria Madangkara,"
Action, War            ",1988,Imam Tantowi
Elegi Buat Nana,"
Drama, Romance            ",1988,Achiel Nasrun
Saskia,"
Drama, Romance            ",1988,Boyke Roring
Setegar gunung batu,"
Drama            ",1988,Slamet Riyadi
Bayar tapi nyicil,"
Comedy            ",1988,Arizal
Malaikat bayangan,NA,1988,Tommy Burnama
Irisan-Irisan Hati,"
Drama            ",1988,Djun Saptohadi
The White Alligator,"
Horror            ",1988,H. Tjut Djalil
Siluman kera,"
Horror            ",1988,M. Abnar Romli
Pertarungan Iblis Merah,"
Action            ",1988,Denny H.W.
Perempuan Malam,"
Horror            ",1988,Atok Suharto
Arini II,NA,1988,Wim Umboh
Santet,"
Horror            ",1988,Sisworo Gautama Putra
Jodoh Boleh Diatur,"
Comedy            ",1988,Ami Priyono
Akibat terlalu genit,NA,1988,Hadi Poernomo
Kisah anak-anak Adam,NA,1988,Ali Shahab
Tiga Setan Darah dan Cambuk Api Angin,"
Action            ",1988,Liliek Sudjio
Cakar harimau,NA,1988,Dhany Firdaus
Pengakuan,"
Drama            ",1988,Maman Firmansyah
Malam Satu Suro,"
Fantasy, Horror, Romance            ",1988,Sisworo Gautama Putra
Brahma manggala,"
Comedy, Drama            ",1988,Jimmy Atmaja
Pendekar ksatria,NA,1988,Jopi Burnama
Wewe Gombel,"
Horror            ",1988,B.Z. Kadaryono
Arwah Anak Ajaib,"
Horror            ",1988,Tommy Burnama
Permainan Dibalik Tirai,"
Adventure            ",1988,Maman Firmansyah
Bangkitnya Si Mata Malaikat,"
Action, Horror            ",1988,Iksan Lahardi
Terang bulan di tengah hari,"
Drama            ",1988,Chaerul Umam
Bisikan Arwah,"
Horror            ",1988,Jopi Burnama
Siluman Teluk Gonggo,"
Action, Adventure, Fantasy            ",1988,Liliek Sudjio
Bendi keramat,"
Comedy            ",1988,A. Harris
Bisa Kelabang Geni,"
Action            ",1988,Dasri Jacob
Putri Kuntilanak,"
Horror, Mystery            ",1988,Atok Suharto
Lukisan Berlumur Darah,"
Horror            ",1988,Torro Margens
Bayi Tabung,"
Drama            ",1988,Nurhadie Irawan
Lady Terminator,"
Action, Horror            ",1989,H. Tjut Djalil
Istana Kecantikan,"
Drama            ",1989,Wahyu Sihombing
Double Crosser,"
Action, Thriller            ",1989,Arizal
Rio sang juara,"
Action            ",1989,Muchlis Raya
Saur Sepuh 2: Pesanggrahan Keramat,"
Action            ",1989,Imam Tantowi
Joe Turun ke Desa,"
Adventure, Comedy            ",1989,Chaerul Umam
Ketika cinta telah berlalu,"
Drama, Romance            ",1989,Adisoerya Abdi
Raden Ajeng Kartini,"
Drama            ",1989,Sjuman Djaya
Lebih Asyik Sama Kamu,"
Comedy            ",1989,Arizal
Makelar kodok,"
Comedy            ",1989,Norman Benny
Saat kukatakan cinta,"
Drama, Romance            ",1989,Adisoerya Abdi
Tarzan Raja Rimba,"
Adventure            ",1989,Ackyl Anwari
Musnahkan Ilmu Santet,"
Horror            ",1989,Maman Firmansyah
Laura si Tarzan,NA,1989,Willy Wilianto
Wanita Harimau,"
Horror            ",1989,Sisworo Gautama Putra
Lupus III,NA,1989,Edi Siswanto
Pacar Ketinggalan Kereta,"
Drama, Romance            ",1989,Teguh Karya
Si Roy,NA,1989,Achiel Nasrun
Malioboro,NA,1989,Chaerul Umam
Tiga Gadis Pilihan,"
Action            ",1989,Jopi Burnama
Jurus Dewa Naga,"
Action            ",1989,S.A. Karim
Badai jalanan,NA,1989,Dhany Firdaus
Mistri cinta,NA,1989,Willy Wilianto
Pembalasan si mata elang,NA,1989,Imam Tantowi
Si badung,NA,1989,Imam Tantowi
Langkah-langkah pasti,NA,1989,A. Rachman
Nuansa birunya rinjani,NA,1989,Jimmy Atmaja
Roh,"
Horror            ",1989,Susilo S.W.D.
"Hey, Cutie!","
Comedy            ",1989,Hadi Poernomo
Si pahit lidah dans si mata empat,NA,1989,Liliek Sudjio
Please Be Patient!,"
Comedy            ",1989,Ida Farida
Semua sayang kamu,"
Drama            ",1989,Ida Farida
Pendekar ilmu api,"
Action            ",1989,M. Sharieffudin A.
Pancasona,"
Fantasy            ",1989,M. Abnar Romli
Cinta Berdarah,"
Horror            ",1989,Torro Margens
Kanan Kiri OK,"
Comedy            ",1989,Deddy Armand
Langitku Rumahku,"
Drama            ",1990,Slamet Rahardjo
Angel of Fury,"
Action            ",1990,Ackyl Anwari
Catatan Si Boy 3,"
Drama            ",1990,Nasri Cheppy
Jual tampang,"
Comedy, Drama            ",1990,Christ Helweldery
Misteri dari Gunung Merapi,"
Action, Horror            ",1990,Liliek Sudjio
Suamiku sayang,"
Comedy, Drama            ",1990,Henky Solaiman
Blok M,"
Drama            ",1990,Edward Sirait
Pengantin,"
Drama, Romance            ",1990,Wim Umboh
Soerabaja '45,"
Drama, War            ",1990,Imam Tantowi
Jampang,"
Action            ",1990,M. Abnar Romli
Saur Sepuh 3: Kembang Gunung Lawu,NA,1990,Imam Tantowi
Jaka Swara,"
Action, Musical            ",1990,Liliek Sudjio
Tarzan penunggu harta karun,"
Adventure            ",1990,M. Abnar Romli
Balada Tiga Jagoan,"
Action            ",1990,Imam Putra Piliang
Si Buta dari Gua Hantu: Lembah Tengkorak,"
Action            ",1990,Ratno Timoer
Makelar kodok untung besar,NA,1990,Norman Benny
Rebo & Robby,NA,1990,Ucik Supra
Diskotik DJ,NA,1990,Dhany Firdaus
Forgotten Rules,"
Comedy, Crime            ",1990,H. Tjut Djalil
Antri Dong,NA,1990,Arizal
Ikut-ikutan,NA,1990,Arizal
Jampang II,NA,1990,S.A. Karim
Turangga,"
Action            ",1990,Eddy Sajoedie
Aji Pamungkas,"
Action, Drama, Fantasy            ",1990,Slamet Riyadi
Perempuan kedua,NA,1990,Ida Farida
Ricky (Nakalnya Anak Muda),"
Drama, Romance            ",1990,Achiel Nasrun
Lupus IV: Anak Mami Sudah Besar,"
Comedy            ",1990,Achiel Nasrun
Cinta anak muda,NA,1990,Hadi Poernomo
Jangan bilang siapa-siapa,NA,1990,Chaerul Umam
Oom pasikom,NA,1990,Chaerul Umam
I Can't Hold It,"
Comedy, Drama            ",1990,Arizal
Curi-curi kesempatan,"
Comedy            ",1990,Arizal
Rahasia patukan cobra,NA,1990,Willy Wilianto
Srigala jalanan,NA,1990,Dhany Firdaus
Guntur tengah malam,"
Horror            ",1990,A. Rachman
Jaka tuak,NA,1990,S.A. Karim
Sepondok dua cinta,"
Comedy            ",1990,M.T. Risyaf
Titisan Dewi Ular,"
Comedy, Horror            ",1990,Sisworo Gautama Putra
Wanita Jelmaan,"
Drama, Fantasy, Horror            ",1990,Sofyan Sharna
Ratapan anak tiri III,NA,1990,Sandy Suwardi Hasan
Pusaka Penyebar Maut,"
Fantasy            ",1990,Sisworo Gautama Putra
Perjanjian Terlarang,"
Drama, Fantasy, Horror            ",1990,B.Z. Kadaryono
Taksi,"
Drama            ",1991,Arifin C. Noer
Misteri Janda Kembang,"
Horror            ",1991,H. Tjut Djalil
Rini tomboy,"
Drama            ",1991,Noto Bagaskoro
Catatan Si Boy 5,"
Drama            ",1991,Nasri Cheppy
Pesta,"
Drama            ",1991,Edward Sirait
Taksi 2,"
Drama            ",1991,Ismail Soebardjo
Gadis Metropolis,"
Drama            ",1991,Bobby Sandy
Gema kampus 66,"
Drama, War            ",1991,Nico Pelamonia
Ajian Ratu Laut Kidul,"
Drama, Fantasy, Horror            ",1991,Sisworo Gautama Putra
Zig Zag,NA,1991,Putu Wijaya
Kamandaka,NA,1991,M. Abnar Romli
Yang tercinta,NA,1991,M.T. Risyaf
Bernafas dalam lumpur,NA,1991,Turino Junaidy
Bujang jelihin,NA,1991,Dasri Jacob
Cakar naga,NA,1991,Bacharoem Halilintar
Catatan Si Emon,"
Drama            ",1991,Nasri Cheppy
Cinta dan noda,"
Drama, Horror            ",1991,Slamet Riyadi
Daerah jagoan,"
Action            ",1991,Dhany Firdaus
Darah pendekar,NA,1991,Bacharoem Halilintar
Dari pintu ke pintu,NA,1991,B.Z. Kadaryono
Jurus-jurus sakti,NA,1991,Bacharoem Halilintar
Makhluk dari Kubur,"
Horror            ",1991,S.A. Karim
Misteri ronggeng,NA,1991,Lukmantoro D.S.
Nada dan Dakwah,"
Drama            ",1991,Chaerul Umam
Perawan metropolitan,NA,1991,Ishaq Iskandar
Plong,"
Comedy, Drama            ",1991,Putu Wijaya
Sekretaris,"
Drama            ",1991,Hadi Poernomo
Si Kabayan dan Anak Jin,"
Comedy            ",1991,Henky Solaiman
Suromenggolo,NA,1991,Dasri Jacob
Badai laut selatan,NA,1991,Nurhadie Irawan
Barang titipan,"
Comedy            ",1991,Ida Farida
"Can Go Up, Can Go Down","
Comedy            ",1991,Arizal
Boss carmad,NA,1991,Chaerul Umam
I Can Hold It Long,"
Comedy            ",1991,Arizal
Akal-akalan,"
Comedy            ",1991,Arizal
Saur Sepuh 4: Titisan Darah Biru,NA,1991,Imam Tantowi
Perjanjian di Malam Keramat,"
Horror            ",1991,Sisworo Gautama Putra
Penumpas Ajaran Sesat,"
Action, Fantasy, Horror            ",1991,M. Sharieffudin A.
Babad Tanah Leluhur II,"
Action            ",1991,Denny H.W.
Cinta Dalam Sepotong Roti,"
Drama            ",1992,Garin Nugroho
Bibir Mer,"
Comedy, Drama            ",1992,Arifin C. Noer
Olga dan Sepatu Roda,"
Comedy, Drama, Romance            ",1992,Achiel Nasrun
Narkoba,"
Action            ",1992,Jopi Burnama
Kembalinya Si Janda Kembang,"
Horror, Mystery            ",1992,Sisworo Gautama Putra
Trouble Everywhere,"
Comedy            ",1992,Arizal
Mystery of the Cold-Blooded Woman,"
Drama, Horror, Mystery            ",1992,S.A. Karim
Asmara,NA,1992,Adisoerya Abdi
Ramadhan dan Ramona,"
Comedy            ",1992,Chaerul Umam
Salah Masuk,"
Comedy            ",1992,Arizal
Salah pencet,"
Comedy            ",1992,Arizal
Pelangi di nusa laut,NA,1992,M.T. Risyaf
Skandal Iblis,"
Horror            ",1992,H. Tjut Djalil
Saur Sepuh V: Istana Atap Langit,"
Action            ",1992,Torro Margens
Kuberikan Segalanya,"
Drama            ",1992,Galeb Husein
Selembut Wajah Anggun,"
Drama            ",1992,Agus Elias
Badut-Badut Kota,"
Comedy, Drama            ",1993,Ucik Supra
Gairah Malam,"
Drama, Horror            ",1993,Ariel Prakasa
Godaan perempuan halus,"
Horror            ",1993,Jopi Burnama
Ranjang pemikat,"
Drama, Horror            ",1993,Pitradjaya Burnama
Susuk Nyi Roro Kidul,"
Fantasy, Horror            ",1993,Azwar An
Walet merah,"
Action, Fantasy            ",1993,S.A. Karim
Perawan lembah wilis,NA,1993,Tommy Burnama
Tahu beres,"
Comedy            ",1993,Arizal
Gara-gara,"
Comedy            ",1993,Arizal
Mumpung Ada Kesempatan,NA,1993,Arizal
Akibat hamil muda,NA,1993,Dhany Firdaus
No Rules Rules,"
Comedy            ",1993,H. Tjut Djalil
Tabir biru,"
Drama            ",1993,Muchlis Raya
Misteri di Malam Pengantin,"
Horror            ",1993,Atok Suharto
Surat Untuk Bidadari,"
Drama            ",1994,Garin Nugroho
Si Kabayan Mencari Jodoh,"
Comedy, Romance            ",1994,Maman Firmansyah
Catatan Harian Tante Sonya,"
Drama            ",1994,Abrar Siregar
Dewi Angin Angin,"
Fantasy, Horror            ",1994,Ackyl Anwari
Godaan Cinta,"
Drama            ",1994,Atok Suharto
Membakar gairah,"
Action            ",1994,Golden Kasmara
Pergaulan,"
Drama            ",1994,Yonky Souhoka
Pergaulan metropolis,"
Drama            ",1994,H. Tjut Djalil
Ranjang yang Ternoda,"
Drama            ",1994,Norman Benny
Setetes Noda Manis,"
Drama            ",1994,Maman Firmansyah
Wanita Dalam Gairah,"
Crime, Drama, Romance            ",1994,H. Tjut Djalil
Macho,NA,1994,Tommy Burnama
Jurus dewa kobra,NA,1994,S.A. Karim
Kenikmatan Tabu,"
Drama            ",1994,Ackyl Anwari
"Suami, istri dan kekasih","
Drama            ",1994,Achiel Nasrun
Saya Duluan Dong,NA,1994,Arizal
Touch Me Here Touch Me There,"
Comedy, Drama            ",1994,Arizal
Godaan membara,"
Drama, Horror            ",1994,Dhany Firdaus
Setulus nurani perempuan,"
Drama            ",1994,Willy Wilianto
Selir Durgaratih III,"
Drama            ",1994,Willy Wilianto
Gaun Merah,"
Horror            ",1994,H. Tjut Djalil
Kabut asmara,"
Drama            ",1994,Torro Margens
Bulan Tertusuk Ilalang,"
Drama            ",1995,Garin Nugroho
Ruby Fruit,"
Fantasy, Romance            ",1995,Takumi Kimizuka
Di balik pelukan laki laki,"
Drama            ",1995,Abdul Razak
Gadis metropolis 2,"
Drama            ",1995,Bobby Sandy
Gairah Malam 2,"
Drama, Horror, Mystery            ",1995,Steady Rimba
Roda-roda asmara di bukit sentul,"
Romance            ",1995,Norman Benny
Panther,"
Action            ",1995,S.A. Karim
Forbidden Love,"
Horror            ",1995,Pitradjaya Burnama
Permainan Binal,"
Drama, Horror            ",1995,Yonky Souhoka
Bisikan Nafsu,"
Horror, Romance            ",1996,Steady Rimba
Cinta dan Nafsu,"
Drama, Romance            ",1996,Emil G. Hampp
Hukuman Zinah,"
Horror, Romance            ",1996,Emil G. Hampp
Lampiasan nafsu,"
Drama, Romance            ",1996,Emil G. Hampp
Selingkuh,"
Drama, Romance            ",1996,Emil G. Hampp
Bergairah di Puncak,"
Drama, Horror            ",1996,Windy Chindyana
Lukisan perkawinan,NA,1996,Dian Hasri
Jaringan tabu,NA,1996,Prawoto S. Rahardjo
Birahi perempuan halus,"
Horror            ",1997,Henry Farel L. Tobing
Leaf on a Pillow,"
Crime, Drama            ",1998,Garin Nugroho
Fatahillah,"
Action, War            ",1998,Imam Tantowi
Sri,"
Drama            ",1999,Marselli Sumarno
Kuldesak,"
Action, Comedy, Drama            ",1999,Nan Triveni Achnas
Misteri cinta,"
Mystery, Romance            ",1999,Febby Lawrence
Sherina's Adventure,"
Adventure, Comedy, Drama            ",2000,Riri Riza
Telegram,"
Drama            ",2000,Slamet Rahardjo
Reinkarnasi,"
Action, Horror            ",2000,Dede Yusuf
November 1828,"
Drama, War            ",2001,Teguh Karya
Pasir Berbisik,"
Drama            ",2001,Nan Triveni Achnas
Jakarta Project,NA,2001,Indra Yudhistira
The Uninvited,"
Horror            ",2001,Rizal Mantovani
Marsinah,"
Drama, Crime            ",2001,Slamet Rahardjo
Tragedi,"
Action            ",2001,Rudy Soedjarwo
Viva Indonesia,NA,2001,Ravi L. Bharwani
Joshua Oh Joshua,"
Comedy, Drama, Family            ",2001,Edward Sirait
What's Up with Cinta?,"
Drama, Romance            ",2002,Rudy Soedjarwo
Ca-bau-kan,"
Drama, History, Romance            ",2002,Nia Di Nata
"Eliana, Eliana","
Drama            ",2002,Riri Riza
Bendera,"
Family            ",2002,Nan Triveni Achnas
Beth,"
Drama, Romance            ",2002,Aria Kusumadewa
Andai Ia Tahu,"
Comedy, Drama            ",2002,Indra Yudhistira
Arwah yang Kembali,"
Drama, Horror            ",2002,Anto Airlangga
Kafir,"
Horror            ",2002,Mardaly Sjarif
Titik Hitam,"
Drama, Mystery            ",2002,Sentot Sahid
